"","state","district","cycle","numPolls","pollster1.name","pollster1.valid","pollster1.led","pollster1.methodology","pollster1.partybias","pollster1.dem","pollster1.rep","pollster2.name","pollster2.valid","pollster2.led","pollster2.methodology","pollster2.partybias","pollster2.dem","pollster2.rep","pollster3.name","pollster3.valid","pollster3.led","pollster3.methodology","pollster3.partybias","pollster3.dem","pollster3.rep","pollster4.name","pollster4.valid","pollster4.led","pollster4.methodology","pollster4.partybias","pollster4.dem","pollster4.rep","pollster5.name","pollster5.valid","pollster5.led","pollster5.methodology","pollster5.partybias","pollster5.dem","pollster5.rep","isMidterm","office_type"
"1","Alabama",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,37.8,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"2","Alaska",0,2024,1,"Data for Progress","True",-0.375545239773664,"Online Panel/Text",NA,41,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"3","Arizona",0,2024,2,"Beacon/Shaw","True",-1.11627918491647,"Live Phone/Text-to-Web",NA,39,43,"North Star Opinion Research","False",-1.10057216918861,"Live Phone/Text-to-Web","REP",33,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"4","California",0,2024,2,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,53.65,33.3,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,56.3,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"5","Colorado",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,48.3,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"6","Florida",0,2024,1,"St. Pete Polls","True",0.453067654671374,"IVR/Text-to-Web",NA,41.7,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"7","Georgia",0,2024,2,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,48,52,"YouGov","True",-0.171864064299212,"Online Panel",NA,48,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"8","Indiana",0,2024,1,"Emerson","True",0.375539205487425,"Online Panel/Email/Text-to-Web",NA,33.6,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"9","Iowa",0,2024,1,"Selzer","True",1.95254747188394,"Live Phone",NA,33,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"10","Massachusetts",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,58.8,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"11","Michigan",0,2024,1,"Quinnipiac","True",-0.675953051361546,"Live Phone",NA,36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"12","Minnesota",0,2024,2,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,42,38,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,46.3,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"13","Montana",0,2024,1,"Emerson","True",0.375539205487425,"Online Panel/Email/Text-to-Web",NA,35,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"14","Nevada",0,2024,1,"Noble Predictive Insights","True",-0.213966631305127,"Online Panel",NA,33,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"15","North Carolina",0,2024,3,"Cygnal","True",0.449575412629498,"Live Phone/Text-to-Web",NA,39.8,45.2,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,45,50,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,40.2,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"16","Ohio",0,2024,4,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,44.6,55.4,"SurveyUSA","True",-0.369664178533671,"Online Panel",NA,35,47.5,"East Carolina University","True",-0.447913249574318,"IVR/Online Panel/Text-to-Web",NA,37.6,48.1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,40.4,51,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"17","Pennsylvania",0,2024,3,"Emerson","True",0.375539205487425,"IVR/Online Panel/Text-to-Web/Email",NA,48.2,51.8,"Beacon/Shaw","True",-1.11627918491647,"Live Phone/Text-to-Web",NA,42,42,"Axis Research",NA,NA,"Online Panel",NA,40,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"18","Tennessee",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,34.4,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"19","Texas",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,42.3,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
"20","Utah",0,2024,1,"Florida Atlantic University/Mainstreet Research",NA,NA,"IVR/Text-to-Web",NA,38.2,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"President"
